INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTIDX,BANKNIFTY,29-Sep-2016,0,XX,19790.5,19840,19042.5,19159.05,19183.65,163619,1266816.59,1019360,-198440,29-SEP-2016,
FUTIDX,BANKNIFTY,27-Oct-2016,0,XX,19925,19948,19201.3,19331.55,19331.55,101333,790197.25,1878000,775200,29-SEP-2016,
FUTIDX,BANKNIFTY,24-Nov-2016,0,XX,20009.85,20023.1,19313.05,19430.7,19430.7,1675,13119.21,41480,6280,29-SEP-2016,
FUTIDX,S&P500,17-Mar-2017,0,XX,0,0,0,2213.75,2242,0,0,0,0,29-SEP-2016,
FUTIDX,S&P500,16-Jun-2017,0,XX,0,0,0,2232,2280.75,0,0,0,0,29-SEP-2016,
FUTIDX,S&P500,15-Sep-2017,0,XX,0,0,0,2300,2320.25,0,0,0,0,29-SEP-2016,
FUTIVX,INDIAVIX,04-Oct-2016,0,XX,0,0,0,1531.5,1826,0,0,0,0,29-SEP-2016,
FUTIVX,INDIAVIX,10-Oct-2016,0,XX,0,0,0,1491,1807.75,0,0,0,0,29-SEP-2016,
FUTIVX,INDIAVIX,18-Oct-2016,0,XX,0,0,0,1444,1787,0,0,0,0,29-SEP-2016,
FUTSTK,ABIRLANUVO,29-Sep-2016,0,XX,1384.55,1401.5,1315.1,1321.55,1326.4,3296,33677.68,588000,-968250,29-SEP-2016,
FUTSTK,ABIRLANUVO,27-Oct-2016,0,XX,1401.4,1410,1325.25,1336.9,1336.9,3755,38423.4,4201500,1419000,29-SEP-2016,
FUTSTK,ABIRLANUVO,24-Nov-2016,0,XX,1410.25,1410.25,1335.45,1353.85,1340.5,7,72.51,7500,3750,29-SEP-2016,
FUTSTK,ACC,29-Sep-2016,0,XX,1619.65,1627.8,1582.2,1591.05,1588.4,3670,23610.23,352800,-334400,29-SEP-2016,
FUTSTK,ACC,27-Oct-2016,0,XX,1629.3,1636.6,1588,1598.45,1598.45,3886,25125.22,1261200,423200,29-SEP-2016,
FUTSTK,ACC,24-Nov-2016,0,XX,1633.75,1644.95,1594.35,1607.05,1607.05,18,116.77,6800,3200,29-SEP-2016,
